1	165.82	2612.6	41.46
2	163.98	2605	41.876
3	165.26	2640.9	41.982
4	164.18	2581.9	41.248
5	165.86	2614.4	41.934
6	169.04	2644.7	42.765
7	170.21	2662.8	42.92
8	165.85	2604.5	42.456
9	167.5	2613.2	42.369
10	170.65	2656.9	42.524
11	169.85	2642.2	42.524
12	171.53	2664	42.562
13	172.11	2656.3	43.026
14	173.18	2677.8	43.191
15	175.57	2706.4	43.384
16	175.17	2708.6	43.026
17	170.21	2693.1	42.833
18	163.23	2670.1	42.282
19	162.76	2670.3	42.514
20	160.5	2634.6	41.634
21	161.2	2639.4	41.016
22	161.76	2666.9	41.325
23	159.89	2669.9	41.866
24	162.78	2648.1	41.77
25	166.56	2654.8	41.17
26	173.92	2635.7	40.658
27	174.24	2629.7	40.494
28	181.07	2663.4	40.948
29	182.38	2672.6	40.735
30	183.26	2671.9	40.416
31	184.55	2697.8	40.387
32	187.19	2723.1	40.774
33	186.48	2727.7	40.735
34	186.04	2730.1	40.639
35	184.35	2711.4	40.329
36	186.07	2722.5	40.165
37	184.9	2720.1	40.89
38	184.22	2713	40.774
39	185.53	2733	40.996
40	185.06	2724.4	40.842
41	186.25	2733.3	40.987
42	186.04	2727.8	40.909
43	186.47	2721.3	40.987
44	185.8	2689.9	41.257
45	185.4	2724	41.692
46	184.78	2705.3	41.567
47	188.11	2734.6	41.683
48	189.68	2746.9	42.04
49	191.14	2748.8	41.673
50	191.81	2772.4	42.011
51	191.29	2770.4	41.992
52	189.55	2779	42.485
53	189.09	2782	42.659
54	190.13	2786.9	42.93
55	188.56	2775.6	42.707
56	188.66	2782.5	42.502
57	186.72	2779.7	43.029
58	186.63	2773.8	42.473
59	183.61	2762.6	42.522
60	184.41	2767.3	42.19
61	183.38	2749.8	42.024
62	182.85	2754.9	42.181
63	180.13	2717.1	42.502
64	182.36	2723.1	42.259
65	182.1	2699.6	42.005
66	183.42	2716.3	42.395
67	183.04	2718.4	42.775
68	185.08	2726.7	42.668
69	181.86	2713.2	42.902
70	183.32	2736.6	43.556
71	185.86	2759.8	43.536
72	188.45	2784.2	43.302
73	188.22	2793.8	43.858
74	185.78	2774	43.682
75	188.89	2798.3	43.565
76	189.19	2801.3	43.634
77	188.77	2798.4	43.624
78	189.31	2809.6	44.131
79	188.27	2815.6	44.004
80	189.73	2804.5	43.995
81	189.3	2801.8	44.16
82	189.46	2807	43.838
83	190.84	2820.4	44.141
84	192.64	2846.1	44.95
85	192.03	2837.4	45.097
86	188.84	2818.8	45.067
87	187.78	2802.6	45.087
88	188.16	2816.3	45.477
89	199.24	2813.4	45.243
90	205.07	2827.2	45.038
91	205.66	2840.4	45.467
92	206.73	2850.4	45.496
